SNO,1
A28102_at,23
AB000114_at,24
AB000115_at,9
AB000220_at,174
AB000409_at,197
AB000449_at,3
AB000450_at,-11
AB000460_at,194
AB000462_at,94
AB000464_at,197
AB000466_at,20
AB000467_at,29
AB000468_at,175
AB000584_at,416
AB000895_at,293
AB000896_at,44
AB000897_at,21
AB000905_at,17
AB001106_at,31
AB001325_at,62
AB002314_at,107
AB002315_at,90
AB002318_at,53
AB002365_at,44
AB002366_at,31
AB002380_at,129
AB002382_at,307
AB002409_at,35
AB002559_at,263
AB003102_at,210
AB003103_at,22
AB003177_at,69
AB003698_at,10
AB004884_at,69
AB006190_at,27
AC000061_cds2_at,132
AC000061_cds3_at,1
AC000062_at,-1
AC000064_cds1_at,73
AC000064_cds2_at,30
AC000066_at,5
AC000099_at,30
AC000115_cds1_at,5
AC002045_xpt1_at,87
AC002073_cds1_at,48
AC002077_at,182
AC002086_at,9
AC002115_cds1_at,406
AC002115_cds3_at,14
AC002115_cds4_at,111
AC002115_rna2_at,127
AC002450_at,64
AC002464_at,4
AC002486_at,90
AD000092_cds1_at,174
AD000092_cds2_at,180
AD000684_cds1_at,377
AD001527_cds1_at,26
AF000177_at,114
AF000231_at,95
AF000234_at,-36
AF000430_at,2
AF000545_at,110
AF000560_at,59
AF000562_at,36
AF000573_rna1_at,-17
AF000959_at,103
AF001294_at,38
AF001620_at,11
AF002020_at,67
AF002224_at,64
AF002700_at,92
AF003743_at,88
AF005037_at,15
AF005043_at,97
AF005361_at,23
AF005775_at,247
AF005887_at,19
AF006041_at,33
AF006084_at,8
AF006087_at,8
AF006609_at,70
AF007111_at,-19
AF007551_at,57
AF007875_at,32
AF008445_at,-7
AF008937_at,21
AF009301_at,85
AF009368_at,213
AF009426_at,27
AF009674_at,-9
AF010193_at,37
AF012270_at,-9
AF014958_at,63
AF015910_at,291
AF015913_at,149
AF015950_at,761
AJ000480_at,857
AJ001047_at,48
AJ001421_at,126
AJ001487_at,9
D00017_at,910
D00591_at,7
D00596_at,378
D00632_at,72
D00654_at,25
D00723_at,4
D00726_at,22
D00760_at,73
D00761_at,499
D00762_at,57
D00763_at,156
D10202_at,16
D10495_at,99
D10511_at,49
D10522_at,69
D10523_at,57
D10656_at,187
D10704_at,606
D10923_at,141
D10995_at,56
D11086_at,166
D11094_at,99
D11139_at,44
D11151_at,2
D11428_at,91
D12485_at,13
D12625_at,8
D12676_at,16
D12686_at,-17
D12763_at,-2
D13118_at,292
D13168_at,10
D13264_at,-1
D13305_at,12
D13315_at,84
D13370_at,90
D13435_at,88
D13540_at,126
D13626_at,20
D13627_at,71
D13628_at,21
D13630_at,133
D13633_at,14
D13634_at,57
D13635_at,24
D13636_at,72
D13637_at,-15
D13639_at,262
D13640_at,40
D13641_at,11
D13642_at,-19
D13643_at,-24
D13644_at,8
D13645_at,0
D13748_at,582
D13789_at,4
D13897_rna2_at,33
D13900_at,50
D13969_at,-13
D13988_at,20
D14043_at,48
D14134_at,11
D14446_at,7
D14497_at,1
D14520_at,357
D14530_at,285
D14533_at,137
D14657_at,103
D14658_at,209
D14659_at,102
D14660_at,28
D14661_at,61
D14662_at,132
D14663_at,78
D14664_at,16
D14678_at,-9
D14686_at,271
D14689_at,43
D14694_at,154
D14695_at,20
D14710_at,928
D14811_at,65
D14812_at,364
D14822_at,3
D14823_at,4
D14827_at,164
D14838_at,-6
D14874_at,49
D14878_at,17
D14889_at,100
D15049_at,19
D15050_at,85
D15057_at,175
D16181_at,-56
D16217_at,119
D16227_at,-6
D16294_at,115
D16350_at,-6
D16469_at,176
D16532_at,19
D16562_at,535
D16581_at,120
D16583_at,50
D16593_at,71
D16626_at,62
D16815_at,17
D17357_at,9
D17390_at,126
D17391_at,-1
D17400_at,-5
D17461_at,26
D17516_at,8
D17525_at,146
D17716_at,104
D21063_at,101
D21089_at,625
D21090_at,46
D21163_at,7
D21205_at,-10
D21239_at,67
D21255_at,25
D21260_at,377
D21261_at,175
D21262_at,154
D21267_at,40
D21337_at,7
D21851_at,116
D21852_at,64
D21853_at,197
D21878_at,56
D23660_at,1984
D23662_at,317
D23673_at,412
D25215_at,107
D25216_at,289
D25217_at,16
D25218_at,80
D25248_at,104
D25274_at,598
D25278_at,64
D25303_at,48
D25328_at,71
D25538_at,11
D25539_at,110
D25547_at,47
D26018_at,48
D26067_at,82
D26068_at,404
D26069_at,36
D26129_at,527
D26135_at,-78
D26308_at,201
D26350_at,-14
D26361_at,18
D26362_at,202
D26443_at,113
D26528_at,15
D26561_cds1_at,13
D26561_cds2_at,39
D26561_cds3_at,1
D26579_at,47
D26598_at,-34
D26599_at,329
D26600_at,266
D28114_at,-2
D28118_at,66
D28124_at,134
D28137_at,102
D28364_at,33
D28383_at,32
D28416_at,147
D28423_at,150
D28476_at,111
D28483_at,26
D28532_at,71
D28588_at,46
D28589_at,25
D28915_at,29
D29012_at,439
D29013_at,109
D29641_at,34
D29642_at,35
D29643_at,242
D29677_at,66
D29810_at,15
D29833_at,41
D29954_at,343
D29956_at,16
D29958_at,110
D29963_at,183
D30036_at,33
D30037_at,13
D30655_at,404
D30742_at,49
D30755_at,-10
D30756_at,63
D30758_at,159
D31716_at,73
D31762_at,53
D31763_at,31
D31764_at,-78
D31765_at,172
D31766_at,170
D31767_at,-27
D31784_at,221
D31797_at,90
D31815_at,17
D31846_at,193
D31883_at,642
D31884_at,116
D31885_at,478
D31886_at,4
D31887_at,79
D31888_at,46
D31890_at,404
D31891_at,94
D31897_at,28
D32001_at,91
D32050_at,327
D32202_at,19
D37931_at,39
D37965_at,4
D38037_at,-10
D38047_at,520
D38048_at,254
D38076_at,132
D38128_at,-33
D38145_at,116
D38293_at,10
D38305_at,83
D38449_at,62
D38462_at,5
D38491_at,3
D38500_at,44
D38503_at,3
D38521_at,72
D38522_at,85
D38524_at,90
D38535_at,59
D38548_at,412
D38549_at,256
D38550_at,21
D38551_at,151
D38552_at,33
D38553_at,45
D38555_at,80
D38583_at,97
D38751_at,104
D42038_at,22
D42039_at,48
D42041_at,195
D42043_at,314
D42044_at,57
D42045_at,70
D42046_at,233
D42047_at,41
D42053_at,7
D42054_at,74
D42055_at,222
D42063_at,11
D42072_at,-3
D42073_at,136
D42084_at,73
D42085_at,138
D42087_at,77
D42108_at,7
D42123_at,43
D42138_at,359
D43636_at,19
D43638_at,4
D43642_at,10
D43767_at,13
D43768_at,6
D43772_at,65
D43947_at,71
D43948_at,81
D43949_at,61
D43950_at,148
D43951_at,75
D44466_at,322
D45248_at,201
D45370_at,-268
D45371_at,107
D45399_at,35
D45906_at,2
D49357_at,7
D49387_at,31
D49394_at,6
D49396_at,912
D49400_at,286
D49410_at,304
D49488_at,29
D49489_at,171
D49490_at,237
D49493_at,2
D49677_at,-6
D49738_at,34
D49742_at,281
D49817_at,62
D49818_at,107
D49950_at,12
D49958_at,299
D50063_at,118
D50310_at,571
D50312_at,5
D50370_at,43
D50402_at,-8
D50487_at,135
D50495_at,19
D50525_at,90
D50532_at,77
D50582_at,110
D50640_at,2
D50645_at,32
D50663_at,244
D50678_at,-15
D50683_at,30
D50692_at,57
D50810_at,109
D50840_at,126
D50857_at,199
D50863_at,189
D50911_at,228
D50912_at,47
D50913_at,167
D50914_at,69
D50915_at,19
D50916_at,58
D50917_at,6
D50918_at,3
D50919_at,6
D50920_at,77
D50922_at,415
D50923_at,155
D50924_at,24
D50925_at,-4
D50926_at,43
D50927_at,63
D50928_at,123
D50930_at,-419
D50931_at,152
D55638_at,43
D55640_at,59
D55654_at,287
D55696_at,139
D55716_at,159
D56495_at,158
D59253_at,57
D61380_at,327
D61391_at,116
D63134_at,236
D63135_at,-74
D63160_at,149
D63390_at,40
D63391_at,127
